word1,word2,label
SNOW,HAIL,1
SNOW,RAIN,1
SNOW,SLEET,1
LEVEL,KAYAK,1
LEVEL,RACECAR,1
LEVEL,MOM,1
SHIFT,TAB,1
SHIFT,RETURN,1
SHIFT,OPTION,1
KAYAK,RACECAR,1
KAYAK,MOM,1
HEAT,BUCKS,1
HEAT,JAZZ,1
HEAT,NETS,1
TAB,RETURN,1
TAB,OPTION,1
BUCKS,JAZZ,1
BUCKS,NETS,1
RETURN,OPTION,1
JAZZ,NETS,1
HAIL,RAIN,1
HAIL,SLEET,1
RAIN,SLEET,1
RACECAR,MOM,1
SNOW,LEVEL,0
SNOW,SHIFT,0
SNOW,KAYAK,0
SNOW,HEAT,0
SNOW,TAB,0
SNOW,BUCKS,0
SNOW,RETURN,0
SNOW,JAZZ,0
SNOW,OPTION,0
SNOW,RACECAR,0
SNOW,MOM,0
SNOW,NETS,0
LEVEL,SHIFT,0
LEVEL,HEAT,0
LEVEL,TAB,0
LEVEL,BUCKS,0
LEVEL,RETURN,0
LEVEL,JAZZ,0
LEVEL,HAIL,0
LEVEL,OPTION,0
LEVEL,RAIN,0
LEVEL,SLEET,0
LEVEL,NETS,0
SHIFT,KAYAK,0
SHIFT,HEAT,0
SHIFT,BUCKS,0
SHIFT,JAZZ,0
SHIFT,HAIL,0
SHIFT,RAIN,0
SHIFT,SLEET,0
SHIFT,RACECAR,0
SHIFT,MOM,0
SHIFT,NETS,0
KAYAK,HEAT,0
KAYAK,TAB,0
KAYAK,BUCKS,0
KAYAK,RETURN,0
KAYAK,JAZZ,0
KAYAK,HAIL,0
KAYAK,OPTION,0
KAYAK,RAIN,0
KAYAK,SLEET,0
KAYAK,NETS,0
HEAT,TAB,0
HEAT,RETURN,0
HEAT,HAIL,0
HEAT,OPTION,0
HEAT,RAIN,0
HEAT,SLEET,0
HEAT,RACECAR,0
HEAT,MOM,0
TAB,BUCKS,0
TAB,JAZZ,0
TAB,HAIL,0
TAB,RAIN,0
TAB,SLEET,0
TAB,RACECAR,0
